course_type,institute_tier,tier,region,is_metro,cgpa,graduation_year_offset,backlogs_count,paper_publications,semester_consistency,internship_count,internship_total_months,internship_top_tier,internship_relevance_score,certifications_count,relevant_certs_count,github_projects,github_stars_total,coding_problem_count,hackathon_wins,languages_known,leadership_roles_count,soft_skills_score,communication_score,extracurriculars_count,portal_activity_30d,portal_activity_90d,interview_invites_count,interview_pass_rate,resume_updates_30d,mock_interviews_taken,avg_response_time_hours,last_login_days_ago,institute_placement_rate_3m,institute_placement_rate_6m,institute_placement_rate_12m,institute_recruiter_diversity,institute_avg_salary_lpa,placement_cell_active_score,recruiter_visits_year,sector_hiring_index,local_job_density,macro_unemployment_rate,course_demand_index,skill_gap_score,salary_expectation_lpa,has_target_company_referral,competitive_exam_attempted,nirf_rank,nirf_score,nirf_median_salary_lpa,t_placed_months,placed_3m,placed_6m,placed_12m,final_salary_lpa
MBA-Operations,3,3,Tier3,0,7.986317844891992,1,2,0,0.665318638012073,0,0.0,0,0.45843525725353473,5,2,1,4.397878422120822,50,0,2,0,0.7017734580266053,0.7425836643544457,4,50,134,8,0.19340587126765993,1,1,1.0899281371951879,1.9756086957151369,0.08086465921527376,0.22815868328390693,0.4113758291046919,0.39832003962029877,4.9073809684303695,0.06586722285568668,11,1.0422740425694783,19.187116261455618,7.939016653828521,1.0422740425694783,0.2521186413566316,11.195054680366413,0,0,347.561602469406,27.59113082539018,4.82621524616018,8.397262392491909,0,0,1,6.952760142164956
MCA,3,3,Metro,1,6.465245893004491,2,2,0,0.6871284515798413,1,3.23495867766332,0,0.8632122868707579,0,0,4,4.771762331714573,203,0,4,2,0.8444659211485535,0.19741071858159837,2,14,43,2,0.38976016628796717,3,3,6.344235607738996,3.5852322192000505,0.10010542704709763,0.22689868705591346,0.3930283496591598,0.6559098744358434,3.0,0.5704424695520177,4,1.0189661912825752,57.26629333202162,7.5787705931666585,1.0189661912825752,0.1465396415798856,9.528442236086626,0,0,308.3331366968798,23.89939338675885,6.376032427029438,13.191578772479213,0,0,0,
MBA-Finance,2,2,Tier2,0,6.4730860675724635,0,0,0,0.8721747252840244,1,4.116479434039736,0,0.4870177974056429,0,0,3,56.0226317147804,49,1,5,1,0.8851075556700876,0.6745012477614846,1,19,59,1,0.09701157454984181,1,5,12.699215583334242,0.1794494531734294,0.43016787341591434,0.5530012297781427,0.7312389619572255,0.5080347288350751,7.139718010282939,0.3516199566939739,28,1.0728685676288052,55.516158470941434,7.918245854939486,1.0728685676288052,0.17640643580109616,11.036661854268072,0,0,45.799895826320025,58.43409002857342,12.263510373939358,6.797783660829449,0,0,1,12.606155240807354
BTech-ECE,3,3,Tier2,0,7.4723287185035385,2,0,0,0.5673834210424601,0,0.0,0,0.07741207991365527,3,2,1,4.21554793805423,48,0,3,0,0.6182391874437871,0.4443855121253801,1,25,61,5,0.2373957579602086,1,0,6.658794947079251,0.8353238834396692,0.17877972882964002,0.3060743369436194,0.45178298619853285,0.6058009741214682,6.88047903612587,0.13914545879929124,8,0.7798443078573899,49.28477349502707,9.134138868926158,0.7798443078573899,0.4135164117814903,8.32534201142954,0,1,233.8773026632448,22.223873515000292,5.19562851343346,14.0,0,0,0,
MBA-Marketing,2,2,Tier2,0,5.397826085245458,2,2,0,0.594338161293097,2,7.4166044032612195,0,0.7199858294620233,3,2,2,3.3501731943524304,55,0,1,1,0.9011410776830089,0.7177293937201257,3,12,32,1,0.6537807740794528,1,1,7.087874478421554,0.3445888784579336,0.27746392054660896,0.3901604307619796,0.5751461458684453,0.43555496666404364,4.767978240559247,0.7171786140142973,23,1.1204295789451315,37.60502063324371,8.34232181670426,1.1204295789451315,0.5125105525829995,11.488876965460811,0,1,85.11213957486726,58.24390118932516,14.761468969381442,14.0,0,0,0,
BTech-CS,3,3,Metro,1,7.538834526756004,-1,0,0,0.8082026343191661,3,9.421778255642216,0,0.9481728093948725,6,5,4,17.489040245902718,206,2,5,1,0.7858008955279285,0.7646617965382839,3,46,146,7,0.36522113552779173,0,0,4.938509266037475,0.10769354231912447,0.10530106324659488,0.2865396561292515,0.4118693171294473,0.6103623833599332,4.155790870872191,0.29226210879974424,7,1.10687175147081,99.05893115038282,5.537076365160106,1.10687175147081,0.5013695737815691,8.320906654165686,1,0,343.2744989831572,33.99977574704228,3.3714045783385505,5.549289859238502,0,1,1,5.332937824287829
MCA,1,1,Metro,1,6.710445718657641,-2,0,1,0.8564556666233176,2,9.604249916727882,0,0.9720759230787589,0,0,7,31.79473156503704,388,1,2,2,0.8689216937896317,0.6728825994822876,2,23,54,0,0.7575295315605796,3,6,0.7884219248153612,4.0297990803994725,0.5184564517814692,0.6259807228716466,0.7385867207420439,0.8693092681263941,14.621283674022735,0.4009920422189596,52,1.095488965093406,87.47260428128074,6.697066103120353,1.095488965093406,0.3904013996912415,6.133383271631647,0,0,7.505995898998811,77.0111498631556,20.549454492308453,2.509503268145253,1,1,1,11.816915748492269
MBA-Operations,2,2,Tier2,0,7.791443656231944,2,0,0,0.6940495607902291,1,4.013055743502939,0,0.7077005675272864,6,4,4,53.85262439936845,64,0,2,0,0.7686254304826863,0.368557775121402,1,48,162,9,0.7147608966074955,0,4,10.974819265794139,8.824540722533417,0.2407275729768176,0.3875846650315312,0.5875414771207723,0.8245956298810516,8.8591241290971,0.5885498125458015,22,0.9570205025608663,26.00270095599299,8.056004437815506,0.9570205025608663,0.053256376429294996,8.302411201686049,0,0,76.8053566235881,63.07549448290375,10.306031777468737,3.2446475973960913,0,1,1,8.116600236563048
BSc-Nursing,3,3,Tier2,0,6.171519709649643,1,0,0,0.8001055192448756,0,0.0,0,0.4378433562553007,3,1,0,0.0,44,0,1,2,0.48522611215058653,0.5678128050913999,4,15,31,1,0.3535631280710795,1,3,8.23239603844994,2.204672131085027,0.0,0.2488893868336361,0.3887245059157069,0.3194243568620506,3.403375891944467,0.4812484967050652,5,1.1044492834465522,18.58225112239657,7.48667209040391,1.1044492834465522,0.5736518222516502,5.5436604401873435,0,1,313.90874280827643,43.41115913067545,5.372302272049537,13.112772547748797,0,0,0,
BTech-Civil,3,3,Tier2,0,6.888818491016707,2,0,0,0.42014121672033405,1,3.8450539678148896,0,0.4031726459735093,1,0,2,9.45371382908049,37,1,4,3,0.8690547644013157,0.8590933139740244,2,24,55,3,0.4841900585453868,4,4,31.543789951625257,3.360264763366411,0.18514201312945222,0.40272495680105436,0.5314167349780388,0.3530995899580594,3.0987324583052924,0.5806064946521984,9,0.6963105822212544,24.389188779900273,8.02530062021181,0.6963105822212544,0.4467038851882804,3.649639874089869,0,1,269.4628962560837,42.10247902885975,5.905222967997382,8.802093178271265,0,0,1,2.702139560125005
BCom,3,3,Metro,1,8.474834574038248,-2,0,0,0.5677096222556526,2,8.461725145192808,0,0.5194302388463815,5,2,2,4.870913412285666,39,0,4,0,0.4033512516244037,0.8752804887752628,4,49,165,7,0.4007119320248507,2,2,2.1681286327419906,1.000109942962611,0.12836522238986114,0.37517735849876865,0.5553546083447416,0.23057169975819608,4.224199102478353,0.12479703302812242,6,0.8236652133401349,81.1519528730797,7.391440575694436,0.8236652133401349,0.23817513768287055,3.225452516965658,0,0,267.7300761305971,24.679013414675005,5.768353494177495,5.798194711432357,0,1,1,3.0777658020442145
BCom,2,2,Tier3,0,6.4460010406664,-1,1,0,0.6883896687060123,3,14.147422906106911,1,0.7817457731324791,1,1,2,12.296520352950537,36,0,2,1,0.8052863039391899,0.9162482941082,4,25,75,5,0.45456486313671923,2,2,22.004989012925524,3.292897857933648,0.16005806161930075,0.26018703940616805,0.4512845166441908,0.3821102492236694,11.642851210364281,0.6927208793435731,29,0.7817328411131813,5.609179551181029,8.807247589296198,0.7817328411131813,0.3157830182730166,4.768799632070103,0,0,57.628652011996124,64.86579607739608,11.745045369036323,1.0858999615110498,1,1,1,4.34142577544054
MCA,3,3,Metro,1,5.699504220431163,-2,3,0,0.7708776085560293,0,0.0,0,0.0893103375624309,2,1,5,35.61443281811017,187,1,1,1,0.8523373009481748,0.7225949887151247,3,17,44,3,0.02527227810672792,1,2,6.848357664269004,2.4463931131641727,0.13170875445372826,0.30036322829051876,0.4139363440389116,0.4435799101571384,3.5627951995233635,0.6465118983745433,4,1.1972911505731179,99.61595131020869,8.539238983614103,1.1972911505731179,0.1508153290192234,6.722709657795579,0,1,387.6308506544025,32.52746447429445,3.155860457353079,20.583148876979866,0,0,0,
BTech-ECE,3,3,Tier3,0,6.670390609540855,-1,1,0,0.8397414174917015,0,0.0,0,0.16911027540363321,1,1,1,31.97260165783727,51,0,2,0,0.845599732852858,0.7083015991511704,1,19,55,0,0.07269378231168491,2,2,28.084820487323327,4.599665779101384,0.12853098660811105,0.26261943925691467,0.36741530804699823,0.30797545966586815,5.819960858118418,0.46639797292879936,4,0.7980343282275737,12.62780878176265,6.132379044728936,0.7980343282275737,0.2362592676448198,6.336115640241213,0,1,239.4953122383077,20.5543821180702,6.994776885112774,13.331704045974146,0,0,0,
MBA-Finance,2,2,Tier2,0,8.57279516195832,1,0,0,0.8358529669177115,0,0.0,0,0.07040661630230291,4,1,0,0.0,54,0,2,1,0.8849665084728962,0.5125412973895812,1,44,109,4,0.18238783385644733,1,6,25.434407030573315,0.2138004038366984,0.35451271516526683,0.4683983449447122,0.5597510818437813,0.6059208165836288,8.934128979459377,0.3563120504203207,25,1.0317391593912233,28.91640221045037,7.591371678780994,1.0317391593912233,0.4787901197247728,15.646880607215106,0,1,62.151741998339574,56.04938169440817,14.908864158446253,2.9363698804842424,1,1,1,14.972199613576917
BTech-CS,2,2,Tier2,0,7.3612485406516335,-2,1,1,0.6168438144111394,1,2.62558623183297,0,0.8566025759973297,2,1,10,67.48859857557615,171,0,4,1,0.6766327620571274,0.6764608367526724,2,21,52,2,0.48589726519658905,5,1,3.2714621498107985,1.0835258159663552,0.36285633001453327,0.6120302287124285,0.8019192927014194,0.3585371089018673,8.09070849463752,0.4012030169512708,28,1.2226655309795849,32.299277010550675,8.78442546507043,1.2226655309795849,0.5991785733319347,9.444795813657246,0,0,62.9590937374806,54.488933127219056,14.026579373680123,1.8079655947561852,1,1,1,8.62448753532237
BTech-CS,2,2,Tier2,0,7.24015414288679,-1,0,0,0.5402923665387016,1,4.728136558689075,1,0.9450843376955742,3,3,9,168.41253540336876,175,0,5,0,0.7739339653658812,0.35894726689461937,2,20,44,2,0.47190781417035177,4,2,5.731873786254983,0.5971246832842044,0.24051759245715085,0.36381557526150066,0.49306803061866367,0.4315151862694166,6.650988922979033,0.5239242629651514,20,1.3886401355211522,32.421860497578294,8.17046052105607,1.3886401355211522,0.19107684875352487,10.407713582281373,0,0,57.456592071374175,57.18377733756305,9.614555890191284,0.7537640683943756,1,1,1,7.502853729069845
BSc-Nursing,2,2,Tier3,0,7.35217194663991,2,0,0,0.2966749380444681,2,5.4436154463927675,0,0.7416900754791674,2,1,3,30.336300076465662,58,0,2,3,0.8710691594704557,0.2918486806666674,2,28,78,5,0.47402105833848923,1,2,2.767863513193827,0.4947739925438299,0.21112808071112024,0.4379141551574024,0.5952791630741474,0.42762424762174844,8.436046637114185,0.4318221914975158,24,1.1907135327815415,14.593117340040793,6.124253890760132,1.1907135327815415,0.4500815003031929,3.9145161433469817,0,0,99.37795151595913,49.17130801451231,10.291468218909166,3.8476520975005397,0,1,1,3.871680382563495
BSc-Nursing,3,3,Tier3,0,5.695795219872115,-1,0,1,0.7692748331644643,0,0.0,0,0.11327485102171639,2,1,1,9.148526179758866,49,1,4,1,0.7124995888862483,0.23402172285246794,4,21,47,1,0.3428652858228989,6,1,60.26913440163665,0.007471091809287992,0.20245258014991185,0.3806210969057864,0.4718490468632638,0.47023904524064314,5.1616450219172965,0.14510540418486353,9,1.0878552618429196,25.777806643946043,6.404444304416996,1.0878552618429196,0.431097229352073,3.538874893140405,0,0,392.2443599448556,24.490083269658633,5.394001961787335,14.0,0,0,0,
BCom,2,2,Tier2,0,7.361304848581933,0,0,0,0.5486782092222227,0,0.0,0,0.4697432708257724,2,1,2,16.2914400366158,39,0,4,1,0.2372843366037536,0.805866182772249,1,21,61,1,0.18365431697848328,1,3,19.768941789856328,2.1973197376682,0.28047684624269104,0.4238055786576173,0.5959370394926429,0.5422207264864862,7.426830668886814,0.4418542267970974,21,0.731662299013792,46.896056742044095,7.617546392397114,0.731662299013792,0.1810516524871438,4.968428468847146,1,0,85.20818511363674,57.61563669109428,13.691452149774326,2.206964934435326,1,1,1,4.0986570285549995
BTech-Mech,2,2,Tier2,0,6.846452400441379,0,0,0,0.827971148971855,0,0.0,0,0.36774787007400966,4,3,4,5.402115425830804,56,0,1,0,0.7181558139886481,0.6293163231902534,2,23,52,4,0.0538151008033106,3,5,1.0040514185950562,1.5386874205761178,0.32176538562635193,0.5504147491955645,0.7192530576993965,0.3460644086514235,3.777810899933105,0.8681578203694313,19,0.8930280459500177,53.071753285298996,6.690678681156199,0.8930280459500177,0.297971362817017,4.544449210955768,0,1,93.66703216006447,63.86984214194331,8.321557313043211,0.88934381612716,1,1,1,5.853372727156495
BTech-Civil,2,2,Tier2,0,8.390215566564875,-1,0,0,0.5934073038451209,0,0.0,0,0.13359693044018348,4,2,1,8.208470954085326,49,1,1,0,0.9318421849941638,0.4500412351607513,0,49,139,6,0.3245599585318291,2,2,31.233844285362316,1.269233677650346,0.30150070849309535,0.46424537746496364,0.627458330375189,0.25005867485091565,9.758476358416452,0.5676640288661371,35,0.7914252444385186,50.4639771955792,6.525095510036837,0.7914252444385186,0.4102888501112558,4.318748986454338,0,1,35.84972445461345,57.943383172194814,11.841475764401485,6.700424595971286,0,0,1,4.577515593251449
MBA-Finance,3,3,Metro,1,7.318189013259972,2,0,0,0.6555085779987905,0,0.0,0,0.1836066001100205,4,2,2,22.142731295312505,59,0,1,0,0.8712783124055673,0.7004000038682456,3,13,36,1,0.18835515129787353,7,5,1.9963213566286975,2.483291296034359,0.0,0.20793413546161332,0.34975086856811727,0.693488789333442,4.965482993083372,0.5226306747964263,6,1.1682607830461658,86.53476264590232,6.827359006291172,1.1682607830461658,0.24303733506031114,10.264318229810659,0,0,230.07324430338338,35.819880203615874,3.361504151432823,9.127982591678684,0,0,1,9.257073705416238
BTech-ECE,1,1,Metro,1,6.808638410271476,2,0,0,0.7983874573704413,1,1.9058758193276146,1,0.7433720338884429,0,0,3,37.203284433242565,53,1,1,1,0.292013572582416,0.7098518634060244,1,19,38,1,0.35009978554781174,2,3,7.514243943389793,0.9098300736357164,0.670373264059407,0.7724493802016776,0.8609932187383083,0.5063476534901672,14.113876913926317,0.767228341428569,59,1.080407453442067,73.64144232500398,7.224030154398248,1.080407453442067,0.06983087738454448,8.53582362619708,0,1,9.50981588890059,82.75653015113467,25.814546422873807,4.313892137487812,0,1,1,9.158048810112495
BTech-CS,3,3,Metro,1,6.345180047182686,-1,3,0,0.6569074384957405,2,5.132913034374423,0,0.6412689013794604,4,4,5,21.815684755476425,163,0,3,1,0.7776004784262553,0.8136646223643259,4,18,38,5,0.28698923881160127,3,1,22.2695728276909,6.103403263279947,0.14565499187091702,0.32943052659264843,0.44033789538781776,0.73468596225385,5.616541465240333,0.13688346694948234,6,1.3185317527715827,65.7647883148112,6.467809796065865,1.3185317527715827,0.22969357521434716,8.319639617167947,0,0,240.61269562597397,29.28635944116337,5.41718269620766,10.5153502703949,0,0,1,6.4559564747058
MBA-Finance,1,1,Metro,1,8.475187344806022,2,0,0,0.5483258211471839,1,2.262055121040165,0,0.8434467171463542,6,3,3,4.263292987951671,42,1,3,2,0.6048777338260467,0.8801002447948396,4,50,161,6,0.19788594334452733,0,6,5.662149988693413,0.8129027329829067,0.5374526940256414,0.691987070830957,0.8264056561286334,0.6597459936530535,14.027046155718557,0.7579055652414031,47,0.923631291424672,70.34393047192498,6.105972470072124,0.923631291424672,0.3610382495444417,15.23088875032758,0,0,9.107961235072473,72.49973233349867,18.387648430638105,1.9426307518658106,1,1,1,22.088967883590225
BTech-ECE,2,2,Tier2,0,6.316625050946699,0,1,1,0.8105272839395449,0,0.0,0,0.6836321718037316,1,1,2,11.146391907432687,45,0,4,1,0.8300712058791566,0.47993888065446905,3,17,50,4,0.634286270166346,4,1,5.046987710960873,0.4856242838554087,0.2304399445812721,0.43757053028430126,0.5541932460130496,0.37726331159079796,10.502039894608034,0.8004192303975908,28,1.1705735652924223,50.28381416519343,7.611299043501943,1.1705735652924223,0.5695080017924886,6.949032590238457,0,1,63.74806779085347,52.574265349735704,8.47224203544545,18.716665814774807,0,0,0,
BSc-Nursing,3,3,Tier3,0,5.628654553730176,1,3,0,0.8854156378090464,0,0.0,1,0.7399093853334592,2,1,2,6.525977590238022,47,0,4,0,0.9232732624182247,0.860349517242556,3,18,41,1,0.358041418111804,0,2,9.285161620486264,0.1864339358210902,0.06970607101726205,0.2202659711358358,0.30689254417306894,0.6310411686993065,3.0,0.24884743657605438,6,0.9540093761827404,17.966793583719614,7.086783614358823,0.9540093761827404,0.5657230673026182,4.09963927273298,0,0,321.18356906556687,39.22818609352581,3.3132866520470663,23.070264472128898,0,0,0,
MBA-Finance,2,2,Tier2,0,6.7842177331240245,-1,1,0,0.7583637760611152,1,2.905193892556852,0,0.77527996891237,0,0,4,42.64494851705283,44,0,1,1,0.5096954696500184,0.4984342538875505,3,19,51,2,0.27743125143803377,2,0,10.654219572642429,0.3588028177249093,0.35201091082147,0.5342434987457059,0.6641815471300098,0.580664017308858,7.794767051159796,0.4474089919418095,20,1.1789991889686406,51.2539929516526,6.116117461392126,1.1789991889686406,0.2159409095606851,10.617537925658812,0,1,86.25225338801184,54.20026573025251,11.103955799475814,9.98689548932936,0,0,1,7.921792770980557
MTech-CS,3,3,Tier2,0,6.909996951032902,-1,1,0,0.5838969529764342,1,3.322682933109835,0,0.5729838389918921,4,2,6,3.1103187234411536,153,0,4,0,0.6556595836071673,0.6629463057616148,6,24,74,3,0.3873038989324053,2,1,5.681566947492096,0.8659491165152315,0.11291120192914318,0.2878146835984238,0.4325855632320911,0.19309808574432458,4.33451454424661,0.341492021266683,3,1.4299950169558944,24.680268497154362,7.47638727846919,1.4299950169558944,0.36987590146436805,13.389084343184168,0,1,337.1059163442241,30.05019072274892,3.7228034947860973,16.708959326128483,0,0,0,
BSc-Nursing,1,1,Metro,1,8.93343712465127,2,0,1,0.32559118871994597,0,0.0,0,0.2869960265997236,8,5,2,17.525223485165203,40,0,4,0,0.8307543285431446,0.9257246744799937,3,44,153,10,0.5703809120371696,3,8,38.82617177562525,1.9957154508340516,0.5064898248613096,0.7454563429584709,0.8364032162737194,0.6730787234657467,10.045245794883499,0.38726392012935856,67,1.096173867670286,66.22149301197668,8.481311115703077,1.096173867670286,0.07569912573336245,5.284832503117927,1,0,28.074119728908872,89.0518679014863,31.67776209452,2.953048968024398,1,1,1,6.07333779417174
BTech-Mech,2,2,Tier2,0,7.408866920466506,-1,0,0,0.7036210788385064,1,3.3168385179053868,1,0.4047779541638211,2,1,4,3.1507376717179,44,0,3,1,0.7989333005336011,0.7730188994690774,1,13,43,1,0.262548697055425,5,1,8.947317374896564,0.8101340482178765,0.34395901131306594,0.5784997567986776,0.7357779010680547,0.7853074569574836,6.239284535952956,0.43377190111298813,38,0.8403332609480136,29.705561238952317,9.106059296817191,0.8403332609480136,0.5957131792883402,7.697154713794092,0,0,45.948312189521396,61.70524656376794,8.681604878313824,5.4779069110122265,0,1,1,7.2406159496774425
MTech-CS,2,2,Metro,1,9.416102683293513,0,1,0,0.9798002087564228,2,9.794012914102474,0,0.3711181559611021,5,4,7,2.3785662954303985,165,0,3,0,0.6229593913611986,0.5095673495661284,5,48,118,7,0.24922703714137381,5,3,13.792286773891188,0.3863727964753093,0.37428744046506573,0.48049062394535175,0.5823418079387996,0.48942381098986126,5.208020008361348,0.38574351387598005,23,1.3743430288807463,65.16504319414823,7.200950692578059,1.3743430288807463,0.23654287774949445,10.973106496654578,0,0,75.40725834121449,50.3756441918684,13.262470500512599,1.6303940311446212,1,1,1,11.165790295174096
